Iniciando testes do somador 4-bit:
Num1  Num2  ->  Saida  Cout  |  Esperado
   7 +    6 ->  1101  0  |  01101
   7 +    7 ->  1110  0  |  01110
   7 +    8 ->  1111  0  |  01111
   7 +    9 ->  0000  1  |  10000
   7 +   10 ->  0001  1  |  10001
   7 +   11 ->  0010  1  |  10010
   7 +   12 ->  0011  1  |  10011
   7 +   13 ->  0100  1  |  10100
   7 +   14 ->  0101  1  |  10101
   7 +   15 ->  0110  1  |  10110
   8 +    0 ->  1000  0  |  01000
   8 +    1 ->  1001  0  |  01001
   8 +    2 ->  1010  0  |  01010
   8 +    3 ->  1011  0  |  01011
   8 +    4 ->  1100  0  |  01100
   8 +    5 ->  1101  0  |  01101
   8 +    6 ->  1110  0  |  01110
   8 +    7 ->  1111  0  |  01111
   8 +    8 ->  0000  1  |  10000
   8 +    9 ->  0001  1  |  10001
   8 +   10 ->  0010  1  |  10010
   8 +   11 ->  0011  1  |  10011
   8 +   12 ->  0100  1  |  10100
   8 +   13 ->  0101  1  |  10101
   8 +   14 ->  0110  1  |  10110
   8 +   15 ->  0111  1  |  10111
   9 +    0 ->  1001  0  |  01001
   9 +    1 ->  1010  0  |  01010
   9 +    2 ->  1011  0  |  01011
   9 +    3 ->  1100  0  |  01100
   9 +    4 ->  1101  0  |  01101
   9 +    5 ->  1110  0  |  01110
   9 +    6 ->  1111  0  |  01111
   9 +    7 ->  0000  1  |  10000
   9 +    8 ->  0001  1  |  10001
   9 +    9 ->  0010  1  |  10010
   9 +   10 ->  0011  1  |  10011
   9 +   11 ->  0100  1  |  10100
   9 +   12 ->  0101  1  |  10101
   9 +   13 ->  0110  1  |  10110
   9 +   14 ->  0111  1  |  10111
   9 +   15 ->  1000  1  |  11000
  10 +    0 ->  1010  0  |  01010
  10 +    1 ->  1011  0  |  01011
  10 +    2 ->  1100  0  |  01100
  10 +    3 ->  1101  0  |  01101
  10 +    4 ->  1110  0  |  01110
  10 +    5 ->  1111  0  |  01111
  10 +    6 ->  0000  1  |  10000
  10 +    7 ->  0001  1  |  10001
  10 +    8 ->  0010  1  |  10010
  10 +    9 ->  0011  1  |  10011
  10 +   10 ->  0100  1  |  10100
  10 +   11 ->  0101  1  |  10101
  10 +   12 ->  0110  1  |  10110
  10 +   13 ->  0111  1  |  10111
  10 +   14 ->  1000  1  |  11000
  10 +   15 ->  1001  1  |  11001
  11 +    0 ->  1011  0  |  01011
  11 +    1 ->  1100  0  |  01100
  11 +    2 ->  1101  0  |  01101
  11 +    3 ->  1110  0  |  01110
  11 +    4 ->  1111  0  |  01111
  11 +    5 ->  0000  1  |  10000
  11 +    6 ->  0001  1  |  10001
  11 +    7 ->  0010  1  |  10010
  11 +    8 ->  0011  1  |  10011
  11 +    9 ->  0100  1  |  10100
  11 +   10 ->  0101  1  |  10101
  11 +   11 ->  0110  1  |  10110
  11 +   12 ->  0111  1  |  10111
  11 +   13 ->  1000  1  |  11000
  11 +   14 ->  1001  1  |  11001
  11 +   15 ->  1010  1  |  11010
  12 +    0 ->  1100  0  |  01100
  12 +    1 ->  1101  0  |  01101
  12 +    2 ->  1110  0  |  01110
  12 +    3 ->  1111  0  |  01111
  12 +    4 ->  0000  1  |  10000
  12 +    5 ->  0001  1  |  10001
  12 +    6 ->  0010  1  |  10010
  12 +    7 ->  0011  1  |  10011
  12 +    8 ->  0100  1  |  10100
  12 +    9 ->  0101  1  |  10101
  12 +   10 ->  0110  1  |  10110
  12 +   11 ->  0111  1  |  10111
  12 +   12 ->  1000  1  |  11000
  12 +   13 ->  1001  1  |  11001
  12 +   14 ->  1010  1  |  11010
  12 +   15 ->  1011  1  |  11011
  13 +    0 ->  1101  0  |  01101
  13 +    1 ->  1110  0  |  01110
  13 +    2 ->  1111  0  |  01111
  13 +    3 ->  0000  1  |  10000
  13 +    4 ->  0001  1  |  10001
  13 +    5 ->  0010  1  |  10010
  13 +    6 ->  0011  1  |  10011
  13 +    7 ->  0100  1  |  10100
  13 +    8 ->  0101  1  |  10101
  13 +    9 ->  0110  1  |  10110
  13 +   10 ->  0111  1  |  10111
  13 +   11 ->  1000  1  |  11000
  13 +   12 ->  1001  1  |  11001
  13 +   13 ->  1010  1  |  11010
  13 +   14 ->  1011  1  |  11011
  13 +   15 ->  1100  1  |  11100
  14 +    0 ->  1110  0  |  01110
  14 +    1 ->  1111  0  |  01111
  14 +    2 ->  0000  1  |  10000
  14 +    3 ->  0001  1  |  10001
  14 +    4 ->  0010  1  |  10010
  14 +    5 ->  0011  1  |  10011
  14 +    6 ->  0100  1  |  10100
  14 +    7 ->  0101  1  |  10101
  14 +    8 ->  0110  1  |  10110
  14 +    9 ->  0111  1  |  10111
  14 +   10 ->  1000  1  |  11000
  14 +   11 ->  1001  1  |  11001
  14 +   12 ->  1010  1  |  11010
  14 +   13 ->  1011  1  |  11011
  14 +   14 ->  1100  1  |  11100
  14 +   15 ->  1101  1  |  11101
  15 +    0 ->  1111  0  |  01111
  15 +    1 ->  0000  1  |  10000
  15 +    2 ->  0001  1  |  10001
  15 +    3 ->  0010  1  |  10010
  15 +    4 ->  0011  1  |  10011
  15 +    5 ->  0100  1  |  10100
  15 +    6 ->  0101  1  |  10101
  15 +    7 ->  0110  1  |  10110
  15 +    8 ->  0111  1  |  10111
  15 +    9 ->  1000  1  |  11000
  15 +   10 ->  1001  1  |  11001
  15 +   11 ->  1010  1  |  11010
  15 +   12 ->  1011  1  |  11011
  15 +   13 ->  1100  1  |  11100
  15 +   14 ->  1101  1  |  11101
  15 +   15 ->  1110  1  |  11110
Testes concluídos.
tb.v:44: $stop called at 256000 (1ps)
** VVP Stop(0) **
** Flushing output streams.
** Current simulation time is 256000 ticks.
[?2004h> 4
[?2004lUnknown command: 4
Try the help command to get a summary
of available commands.
[?2004h> ^Z[?2004l